date,sku,product,brand,price,cost,units_sold,region
2021-03-01,TV-IND-001,"Smart TV 55""",Samsung,43727.03,29120.0,817,India
2021-04-01,TV-IND-001,"Smart TV 55""",Samsung,42891.27,29120.0,852,India
2021-05-01,TV-IND-001,"Smart TV 55""",Samsung,42959.55,29120.0,798,India
2021-06-01,TV-IND-001,"Smart TV 55""",Samsung,44824.13,29120.0,801,India
2021-07-01,TV-IND-001,"Smart TV 55""",Samsung,41489.44,29120.0,807,India
2021-08-01,TV-IND-001,"Smart TV 55""",Samsung,47988.19,29120.0,855,India
2021-09-01,TV-IND-001,"Smart TV 55""",Samsung,40997.74,29120.0,792,India
2021-10-01,TV-IND-001,"Smart TV 55""",Samsung,46767.09,29120.0,1273,India
2021-11-01,TV-IND-001,"Smart TV 55""",Samsung,46452.31,29120.0,1519,India
2021-12-01,TV-IND-001,"Smart TV 55""",Samsung,41485.83,29120.0,1209,India
2022-01-01,TV-IND-001,"Smart TV 55""",Samsung,48439.66,29680.0,812,India
2022-02-01,TV-IND-001,"Smart TV 55""",Samsung,46683.13,29680.0,804,India
2022-03-01,TV-IND-001,"Smart TV 55""",Samsung,44395.48,29680.0,841,India
2022-04-01,TV-IND-001,"Smart TV 55""",Samsung,44499.5,29680.0,912,India
2022-05-01,TV-IND-001,"Smart TV 55""",Samsung,48616.26,29680.0,937,India
2022-06-01,TV-IND-001,"Smart TV 55""",Samsung,45576.48,29680.0,869,India
2022-07-01,TV-IND-001,"Smart TV 55""",Samsung,47690.2,29680.0,859,India
2022-08-01,TV-IND-001,"Smart TV 55""",Samsung,46228.84,29680.0,887,India
2022-09-01,TV-IND-001,"Smart TV 55""",Samsung,45946.51,29680.0,885,India
2022-10-01,TV-IND-001,"Smart TV 55""",Samsung,45249.25,29680.0,1447,India
2022-11-01,TV-IND-001,"Smart TV 55""",Samsung,44420.19,29680.0,1498,India
2022-12-01,TV-IND-001,"Smart TV 55""",Samsung,45842.78,29680.0,1164,India
2023-01-01,TV-IND-001,"Smart TV 55""",Samsung,46365.51,30240.0,905,India
2023-02-01,TV-IND-001,"Smart TV 55""",Samsung,48963.38,30240.0,897,India
2023-03-01,TV-IND-001,"Smart TV 55""",Samsung,50274.08,30240.0,866,India
2023-04-01,TV-IND-001,"Smart TV 55""",Samsung,49359.04,30240.0,940,India
2023-05-01,TV-IND-001,"Smart TV 55""",Samsung,49325.56,30240.0,998,India
2023-06-01,TV-IND-001,"Smart TV 55""",Samsung,44681.0,30240.0,850,India
2023-07-01,TV-IND-001,"Smart TV 55""",Samsung,49353.92,30240.0,889,India
2023-08-01,TV-IND-001,"Smart TV 55""",Samsung,50021.14,30240.0,1065,India
2023-09-01,TV-IND-001,"Smart TV 55""",Samsung,44992.33,30240.0,886,India
2023-10-01,TV-IND-001,"Smart TV 55""",Samsung,46491.38,30240.0,1323,India
2023-11-01,TV-IND-001,"Smart TV 55""",Samsung,43329.12,30240.0,1609,India
2023-12-01,TV-IND-001,"Smart TV 55""",Samsung,47120.89,30240.0,1286,India
2024-01-01,TV-IND-001,"Smart TV 55""",Samsung,45362.32,30800.0,861,India
2024-02-01,TV-IND-001,"Smart TV 55""",Samsung,47045.09,30800.0,889,India
2024-03-01,TV-IND-001,"Smart TV 55""",Samsung,48445.21,30800.0,963,India
2024-04-01,TV-IND-001,"Smart TV 55""",Samsung,49868.93,30800.0,1066,India
2024-05-01,TV-IND-001,"Smart TV 55""",Samsung,51873.79,30800.0,1000,India
2024-06-01,TV-IND-001,"Smart TV 55""",Samsung,46381.77,30800.0,868,India
2024-07-01,TV-IND-001,"Smart TV 55""",Samsung,46637.25,30800.0,787,India
2024-08-01,TV-IND-001,"Smart TV 55""",Samsung,44721.06,30800.0,1039,India
2024-09-01,TV-IND-001,"Smart TV 55""",Samsung,44833.83,30800.0,994,India
2024-10-01,TV-IND-001,"Smart TV 55""",Samsung,46589.38,30800.0,1714,India
2024-11-01,TV-IND-001,"Smart TV 55""",Samsung,45555.75,30800.0,1630,India
2024-12-01,TV-IND-001,"Smart TV 55""",Samsung,48218.49,30800.0,1359,India
2019-01-01,MB-IND-002,Smartphone Pro,Apple,85263.96,52000.0,371,India
2019-02-01,MB-IND-002,Smartphone Pro,Apple,92249.8,52000.0,340,India
2019-03-01,MB-IND-002,Smartphone Pro,Apple,90901.46,52000.0,402,India
2019-04-01,MB-IND-002,Smartphone Pro,Apple,89509.43,52000.0,340,India
2019-05-01,MB-IND-002,Smartphone Pro,Apple,82460.64,52000.0,372,India
2019-06-01,MB-IND-002,Smartphone Pro,Apple,90294.32,52000.0,348,India
2019-07-01,MB-IND-002,Smartphone Pro,Apple,91067.26,52000.0,338,India
2019-08-01,MB-IND-002,Smartphone Pro,Apple,84362.98,52000.0,410,India
2019-09-01,MB-IND-002,Smartphone Pro,Apple,95219.04,52000.0,360,India
2019-10-01,MB-IND-002,Smartphone Pro,Apple,83838.3,52000.0,554,India
2019-11-01,MB-IND-002,Smartphone Pro,Apple,95047.64,52000.0,540,India
2019-12-01,MB-IND-002,Smartphone Pro,Apple,94373.31,52000.0,442,India
2020-01-01,MB-IND-002,Smartphone Pro,Apple,96322.76,53040.0,387,India
2020-02-01,MB-IND-002,Smartphone Pro,Apple,92479.64,53040.0,309,India
2020-03-01,MB-IND-002,Smartphone Pro,Apple,85701.96,53040.0,337,India
2020-04-01,MB-IND-002,Smartphone Pro,Apple,97496.04,53040.0,416,India
2020-05-01,MB-IND-002,Smartphone Pro,Apple,89309.02,53040.0,441,India
2020-06-01,MB-IND-002,Smartphone Pro,Apple,89458.33,53040.0,415,India
2020-07-01,MB-IND-002,Smartphone Pro,Apple,97347.47,53040.0,430,India
2020-08-01,MB-IND-002,Smartphone Pro,Apple,95774.99,53040.0,446,India
2020-09-01,MB-IND-002,Smartphone Pro,Apple,86707.04,53040.0,393,India
2020-10-01,MB-IND-002,Smartphone Pro,Apple,97515.67,53040.0,536,India
2020-11-01,MB-IND-002,Smartphone Pro,Apple,84410.64,53040.0,630,India
2020-12-01,MB-IND-002,Smartphone Pro,Apple,86695.0,53040.0,457,India
2021-01-01,MB-IND-002,Smartphone Pro,Apple,96633.76,54080.0,445,India
2021-02-01,MB-IND-002,Smartphone Pro,Apple,90178.01,54080.0,379,India
2021-03-01,MB-IND-002,Smartphone Pro,Apple,91704.51,54080.0,380,India
2021-04-01,MB-IND-002,Smartphone Pro,Apple,98060.64,54080.0,464,India
2021-05-01,MB-IND-002,Smartphone Pro,Apple,96719.07,54080.0,496,India
2021-06-01,MB-IND-002,Smartphone Pro,Apple,95371.08,54080.0,429,India
2021-07-01,MB-IND-002,Smartphone Pro,Apple,90795.87,54080.0,431,India
2021-08-01,MB-IND-002,Smartphone Pro,Apple,90475.68,54080.0,436,India
2021-09-01,MB-IND-002,Smartphone Pro,Apple,100257.71,54080.0,439,India
2021-10-01,MB-IND-002,Smartphone Pro,Apple,96319.46,54080.0,575,India
2021-11-01,MB-IND-002,Smartphone Pro,Apple,95500.82,54080.0,655,India
2021-12-01,MB-IND-002,Smartphone Pro,Apple,94227.06,54080.0,576,India
2022-01-01,MB-IND-002,Smartphone Pro,Apple,93607.24,55120.0,431,India
2022-02-01,MB-IND-002,Smartphone Pro,Apple,89626.62,55120.0,361,India
2022-03-01,MB-IND-002,Smartphone Pro,Apple,103846.62,55120.0,400,India
2022-04-01,MB-IND-002,Smartphone Pro,Apple,104055.7,55120.0,481,India
2022-05-01,MB-IND-002,Smartphone Pro,Apple,89489.11,55120.0,480,India
2022-06-01,MB-IND-002,Smartphone Pro,Apple,103658.19,55120.0,466,India
2022-07-01,MB-IND-002,Smartphone Pro,Apple,104206.12,55120.0,484,India
2022-08-01,MB-IND-002,Smartphone Pro,Apple,102489.27,55120.0,489,India
2022-09-01,MB-IND-002,Smartphone Pro,Apple,102460.2,55120.0,437,India
2022-10-01,MB-IND-002,Smartphone Pro,Apple,94168.34,55120.0,521,India
2022-11-01,MB-IND-002,Smartphone Pro,Apple,103779.82,55120.0,706,India
2022-12-01,MB-IND-002,Smartphone Pro,Apple,100052.7,55120.0,492,India
2023-01-01,MB-IND-002,Smartphone Pro,Apple,101514.23,56160.0,404,India
2023-02-01,MB-IND-002,Smartphone Pro,Apple,107495.77,56160.0,415,India
2023-03-01,MB-IND-002,Smartphone Pro,Apple,105698.65,56160.0,465,India
2023-04-01,MB-IND-002,Smartphone Pro,Apple,103519.97,56160.0,445,India
2023-05-01,MB-IND-002,Smartphone Pro,Apple,97439.05,56160.0,561,India
2023-06-01,MB-IND-002,Smartphone Pro,Apple,96388.04,56160.0,505,India
2023-07-01,MB-IND-002,Smartphone Pro,Apple,105534.36,56160.0,513,India
2023-08-01,MB-IND-002,Smartphone Pro,Apple,106270.69,56160.0,541,India
2023-09-01,MB-IND-002,Smartphone Pro,Apple,104437.45,56160.0,515,India
2023-10-01,MB-IND-002,Smartphone Pro,Apple,102071.74,56160.0,820,India
2023-11-01,MB-IND-002,Smartphone Pro,Apple,105900.12,56160.0,789,India
2023-12-01,MB-IND-002,Smartphone Pro,Apple,97096.22,56160.0,607,India
2024-01-01,MB-IND-002,Smartphone Pro,Apple,103631.92,57200.0,430,India
2024-02-01,MB-IND-002,Smartphone Pro,Apple,94750.59,57200.0,424,India
2024-03-01,MB-IND-002,Smartphone Pro,Apple,98854.4,57200.0,578,India
2024-04-01,MB-IND-002,Smartphone Pro,Apple,103837.49,57200.0,439,India
2024-05-01,MB-IND-002,Smartphone Pro,Apple,96242.74,57200.0,524,India
2024-06-01,MB-IND-002,Smartphone Pro,Apple,102714.26,57200.0,534,India
2024-07-01,MB-IND-002,Smartphone Pro,Apple,104362.45,57200.0,490,India
2024-08-01,MB-IND-002,Smartphone Pro,Apple,95559.65,57200.0,578,India
2024-09-01,MB-IND-002,Smartphone Pro,Apple,103015.44,57200.0,524,India
2024-10-01,MB-IND-002,Smartphone Pro,Apple,104600.55,57200.0,626,India
2024-11-01,MB-IND-002,Smartphone Pro,Apple,107183.97,57200.0,647,India
2024-12-01,MB-IND-002,Smartphone Pro,Apple,98597.15,57200.0,617,India
2019-01-01,LP-IND-003,Laptop Ultra,Dell,62835.82,44000.0,280,India
2019-02-01,LP-IND-003,Laptop Ultra,Dell,73033.61,44000.0,268,India
2019-03-01,LP-IND-003,Laptop Ultra,Dell,67009.41,44000.0,298,India
2019-04-01,LP-IND-003,Laptop Ultra,Dell,64445.44,44000.0,323,India
2019-05-01,LP-IND-003,Laptop Ultra,Dell,68535.59,44000.0,321,India
2019-06-01,LP-IND-003,Laptop Ultra,Dell,70334.8,44000.0,245,India
2019-07-01,LP-IND-003,Laptop Ultra,Dell,72948.93,44000.0,247,India
2019-08-01,LP-IND-003,Laptop Ultra,Dell,70588.32,44000.0,328,India
2019-09-01,LP-IND-003,Laptop Ultra,Dell,67125.25,44000.0,377,India
2019-10-01,LP-IND-003,Laptop Ultra,Dell,65255.31,44000.0,366,India
2019-11-01,LP-IND-003,Laptop Ultra,Dell,62716.6,44000.0,442,India
2019-12-01,LP-IND-003,Laptop Ultra,Dell,63822.87,44000.0,292,India
2020-01-01,LP-IND-003,Laptop Ultra,Dell,69750.58,44880.0,332,India
2020-02-01,LP-IND-003,Laptop Ultra,Dell,65533.17,44880.0,307,India
2020-03-01,LP-IND-003,Laptop Ultra,Dell,66377.77,44880.0,227,India
2020-04-01,LP-IND-003,Laptop Ultra,Dell,69298.72,44880.0,297,India
2020-05-01,LP-IND-003,Laptop Ultra,Dell,71553.91,44880.0,403,India
2020-06-01,LP-IND-003,Laptop Ultra,Dell,64944.49,44880.0,245,India
2020-07-01,LP-IND-003,Laptop Ultra,Dell,70075.15,44880.0,327,India
2020-08-01,LP-IND-003,Laptop Ultra,Dell,74034.97,44880.0,289,India
2020-09-01,LP-IND-003,Laptop Ultra,Dell,65227.62,44880.0,317,India
2020-10-01,LP-IND-003,Laptop Ultra,Dell,71636.01,44880.0,375,India
2020-11-01,LP-IND-003,Laptop Ultra,Dell,74973.4,44880.0,431,India
2020-12-01,LP-IND-003,Laptop Ultra,Dell,70885.79,44880.0,320,India
2021-01-01,LP-IND-003,Laptop Ultra,Dell,71598.54,45760.0,385,India
2021-02-01,LP-IND-003,Laptop Ultra,Dell,72606.09,45760.0,278,India
2021-03-01,LP-IND-003,Laptop Ultra,Dell,77398.82,45760.0,322,India
2021-04-01,LP-IND-003,Laptop Ultra,Dell,76754.83,45760.0,360,India
2021-05-01,LP-IND-003,Laptop Ultra,Dell,67134.6,45760.0,388,India
2021-06-01,LP-IND-003,Laptop Ultra,Dell,69992.28,45760.0,279,India
2021-07-01,LP-IND-003,Laptop Ultra,Dell,67676.37,45760.0,297,India
2021-08-01,LP-IND-003,Laptop Ultra,Dell,74348.93,45760.0,371,India
2021-09-01,LP-IND-003,Laptop Ultra,Dell,74791.03,45760.0,393,India
2021-10-01,LP-IND-003,Laptop Ultra,Dell,75579.98,45760.0,394,India
2021-11-01,LP-IND-003,Laptop Ultra,Dell,74970.29,45760.0,426,India
2021-12-01,LP-IND-003,Laptop Ultra,Dell,75618.66,45760.0,336,India
2022-01-01,LP-IND-003,Laptop Ultra,Dell,72602.24,46640.0,362,India
2022-02-01,LP-IND-003,Laptop Ultra,Dell,77398.04,46640.0,330,India
2022-03-01,LP-IND-003,Laptop Ultra,Dell,78370.49,46640.0,361,India
2022-04-01,LP-IND-003,Laptop Ultra,Dell,73277.93,46640.0,359,India
2022-05-01,LP-IND-003,Laptop Ultra,Dell,69413.37,46640.0,429,India
2022-06-01,LP-IND-003,Laptop Ultra,Dell,78893.96,46640.0,332,India
2022-07-01,LP-IND-003,Laptop Ultra,Dell,71985.93,46640.0,366,India
2022-08-01,LP-IND-003,Laptop Ultra,Dell,78810.59,46640.0,369,India
2022-09-01,LP-IND-003,Laptop Ultra,Dell,79463.84,46640.0,398,India
2022-10-01,LP-IND-003,Laptop Ultra,Dell,74990.91,46640.0,403,India
2022-11-01,LP-IND-003,Laptop Ultra,Dell,71667.65,46640.0,451,India
2022-12-01,LP-IND-003,Laptop Ultra,Dell,72088.1,46640.0,435,India
2023-01-01,LP-IND-003,Laptop Ultra,Dell,79713.07,47520.0,419,India
2023-02-01,LP-IND-003,Laptop Ultra,Dell,79689.17,47520.0,368,India
2023-03-01,LP-IND-003,Laptop Ultra,Dell,70768.59,47520.0,366,India
2023-04-01,LP-IND-003,Laptop Ultra,Dell,76763.54,47520.0,358,India
2023-05-01,LP-IND-003,Laptop Ultra,Dell,74343.31,47520.0,459,India
2023-06-01,LP-IND-003,Laptop Ultra,Dell,71493.73,47520.0,326,India
2023-07-01,LP-IND-003,Laptop Ultra,Dell,77600.56,47520.0,362,India
2023-08-01,LP-IND-003,Laptop Ultra,Dell,71299.44,47520.0,372,India
2023-09-01,LP-IND-003,Laptop Ultra,Dell,70953.86,47520.0,418,India
2023-10-01,LP-IND-003,Laptop Ultra,Dell,80082.06,47520.0,413,India
2023-11-01,LP-IND-003,Laptop Ultra,Dell,71101.0,47520.0,491,India
2023-12-01,LP-IND-003,Laptop Ultra,Dell,82090.0,47520.0,401,India
2024-01-01,LP-IND-003,Laptop Ultra,Dell,82113.75,48400.0,358,India
2024-02-01,LP-IND-003,Laptop Ultra,Dell,83795.97,48400.0,324,India
2024-03-01,LP-IND-003,Laptop Ultra,Dell,81667.66,48400.0,364,India
2024-04-01,LP-IND-003,Laptop Ultra,Dell,78930.75,48400.0,400,India
2024-05-01,LP-IND-003,Laptop Ultra,Dell,73335.3,48400.0,480,India
2024-06-01,LP-IND-003,Laptop Ultra,Dell,78107.73,48400.0,343,India
2024-07-01,LP-IND-003,Laptop Ultra,Dell,72648.47,48400.0,368,India
2024-08-01,LP-IND-003,Laptop Ultra,Dell,73430.65,48400.0,401,India
2024-09-01,LP-IND-003,Laptop Ultra,Dell,81278.51,48400.0,443,India
2024-10-01,LP-IND-003,Laptop Ultra,Dell,79243.11,48400.0,424,India
2024-11-01,LP-IND-003,Laptop Ultra,Dell,75518.83,48400.0,533,India
2024-12-01,LP-IND-003,Laptop Ultra,Dell,82811.91,48400.0,428,India
2019-01-01,WM-IND-004,Washing Machine 7kg,LG,29817.84,20000.0,549,India
2019-02-01,WM-IND-004,Washing Machine 7kg,LG,32275.73,20000.0,572,India
2019-03-01,WM-IND-004,Washing Machine 7kg,LG,32662.52,20000.0,604,India
2019-04-01,WM-IND-004,Washing Machine 7kg,LG,33002.23,20000.0,692,India
2019-05-01,WM-IND-004,Washing Machine 7kg,LG,32431.69,20000.0,925,India
2019-06-01,WM-IND-004,Washing Machine 7kg,LG,34053.93,20000.0,685,India
2019-07-01,WM-IND-004,Washing Machine 7kg,LG,30860.19,20000.0,789,India
2019-08-01,WM-IND-004,Washing Machine 7kg,LG,30403.18,20000.0,572,India
2019-09-01,WM-IND-004,Washing Machine 7kg,LG,32428.32,20000.0,484,India
2019-10-01,WM-IND-004,Washing Machine 7kg,LG,29838.0,20000.0,649,India
2019-11-01,WM-IND-004,Washing Machine 7kg,LG,31024.78,20000.0,761,India
2019-12-01,WM-IND-004,Washing Machine 7kg,LG,33606.63,20000.0,641,India
2020-01-01,WM-IND-004,Washing Machine 7kg,LG,35127.07,20400.0,536,India
2020-02-01,WM-IND-004,Washing Machine 7kg,LG,34660.93,20400.0,635,India
2020-03-01,WM-IND-004,Washing Machine 7kg,LG,35242.04,20400.0,577,India
2020-04-01,WM-IND-004,Washing Machine 7kg,LG,34890.47,20400.0,816,India
2020-05-01,WM-IND-004,Washing Machine 7kg,LG,35529.7,20400.0,923,India
2020-06-01,WM-IND-004,Washing Machine 7kg,LG,31116.44,20400.0,751,India
2020-07-01,WM-IND-004,Washing Machine 7kg,LG,35438.14,20400.0,619,India
2020-08-01,WM-IND-004,Washing Machine 7kg,LG,34764.2,20400.0,725,India
2020-09-01,WM-IND-004,Washing Machine 7kg,LG,32510.79,20400.0,617,India
2020-10-01,WM-IND-004,Washing Machine 7kg,LG,31765.04,20400.0,795,India
2020-11-01,WM-IND-004,Washing Machine 7kg,LG,34378.53,20400.0,792,India
2020-12-01,WM-IND-004,Washing Machine 7kg,LG,35305.52,20400.0,597,India
2021-01-01,WM-IND-004,Washing Machine 7kg,LG,33651.59,20800.0,593,India
2021-02-01,WM-IND-004,Washing Machine 7kg,LG,31907.37,20800.0,683,India
2021-03-01,WM-IND-004,Washing Machine 7kg,LG,32447.29,20800.0,694,India
2021-04-01,WM-IND-004,Washing Machine 7kg,LG,34851.85,20800.0,789,India
2021-05-01,WM-IND-004,Washing Machine 7kg,LG,31822.7,20800.0,788,India
2021-06-01,WM-IND-004,Washing Machine 7kg,LG,34851.16,20800.0,916,India
2021-07-01,WM-IND-004,Washing Machine 7kg,LG,34029.43,20800.0,859,India
2021-08-01,WM-IND-004,Washing Machine 7kg,LG,35831.36,20800.0,703,India
2021-09-01,WM-IND-004,Washing Machine 7kg,LG,35964.17,20800.0,772,India
2021-10-01,WM-IND-004,Washing Machine 7kg,LG,33396.18,20800.0,878,India
2021-11-01,WM-IND-004,Washing Machine 7kg,LG,35027.58,20800.0,885,India
2021-12-01,WM-IND-004,Washing Machine 7kg,LG,32362.2,20800.0,702,India
2022-01-01,WM-IND-004,Washing Machine 7kg,LG,34278.64,21200.0,708,India
2022-02-01,WM-IND-004,Washing Machine 7kg,LG,34531.06,21200.0,594,India
2022-03-01,WM-IND-004,Washing Machine 7kg,LG,34958.07,21200.0,713,India
2022-04-01,WM-IND-004,Washing Machine 7kg,LG,36463.01,21200.0,850,India
2022-05-01,WM-IND-004,Washing Machine 7kg,LG,36902.28,21200.0,1077,India
2022-06-01,WM-IND-004,Washing Machine 7kg,LG,37388.68,21200.0,784,India
2022-07-01,WM-IND-004,Washing Machine 7kg,LG,34651.94,21200.0,700,India
2022-08-01,WM-IND-004,Washing Machine 7kg,LG,37558.97,21200.0,735,India
2022-09-01,WM-IND-004,Washing Machine 7kg,LG,35624.48,21200.0,587,India
2022-10-01,WM-IND-004,Washing Machine 7kg,LG,33429.8,21200.0,810,India
2022-11-01,WM-IND-004,Washing Machine 7kg,LG,33104.64,21200.0,918,India
2022-12-01,WM-IND-004,Washing Machine 7kg,LG,34018.7,21200.0,620,India
2023-01-01,WM-IND-004,Washing Machine 7kg,LG,36800.84,21600.0,687,India
2023-02-01,WM-IND-004,Washing Machine 7kg,LG,33960.95,21600.0,787,India
2023-03-01,WM-IND-004,Washing Machine 7kg,LG,33987.85,21600.0,738,India
2023-04-01,WM-IND-004,Washing Machine 7kg,LG,33481.46,21600.0,796,India
2023-05-01,WM-IND-004,Washing Machine 7kg,LG,34156.0,21600.0,999,India
2023-06-01,WM-IND-004,Washing Machine 7kg,LG,35061.67,21600.0,855,India
2023-07-01,WM-IND-004,Washing Machine 7kg,LG,33198.23,21600.0,991,India
2023-08-01,WM-IND-004,Washing Machine 7kg,LG,37556.94,21600.0,782,India
2023-09-01,WM-IND-004,Washing Machine 7kg,LG,37982.25,21600.0,701,India
2023-10-01,WM-IND-004,Washing Machine 7kg,LG,38253.45,21600.0,877,India
2023-11-01,WM-IND-004,Washing Machine 7kg,LG,37595.88,21600.0,934,India
2023-12-01,WM-IND-004,Washing Machine 7kg,LG,37263.62,21600.0,696,India
2024-01-01,WM-IND-004,Washing Machine 7kg,LG,36037.34,22000.0,698,India
2024-02-01,WM-IND-004,Washing Machine 7kg,LG,36708.87,22000.0,735,India
2024-03-01,WM-IND-004,Washing Machine 7kg,LG,36579.4,22000.0,714,India
2024-04-01,WM-IND-004,Washing Machine 7kg,LG,38257.11,22000.0,995,India
2024-05-01,WM-IND-004,Washing Machine 7kg,LG,36868.76,22000.0,1111,India
2024-06-01,WM-IND-004,Washing Machine 7kg,LG,36989.08,22000.0,1007,India
2024-07-01,WM-IND-004,Washing Machine 7kg,LG,36992.05,22000.0,893,India
2024-08-01,WM-IND-004,Washing Machine 7kg,LG,35283.67,22000.0,759,India
2024-09-01,WM-IND-004,Washing Machine 7kg,LG,33974.18,22000.0,735,India
2024-10-01,WM-IND-004,Washing Machine 7kg,LG,35752.4,22000.0,805,India
2024-11-01,WM-IND-004,Washing Machine 7kg,LG,34561.16,22000.0,942,India
2024-12-01,WM-IND-004,Washing Machine 7kg,LG,39099.42,22000.0,682,India
2019-01-01,AC-IND-005,Air Conditioner 1.5T,Daikin,39758.16,24000.0,612,India
2019-02-01,AC-IND-005,Air Conditioner 1.5T,Daikin,37990.53,24000.0,612,India
2019-03-01,AC-IND-005,Air Conditioner 1.5T,Daikin,38527.99,24000.0,607,India
2019-04-01,AC-IND-005,Air Conditioner 1.5T,Daikin,39492.27,24000.0,620,India
2019-05-01,AC-IND-005,Air Conditioner 1.5T,Daikin,36685.36,24000.0,723,India
2019-06-01,AC-IND-005,Air Conditioner 1.5T,Daikin,37167.54,24000.0,719,India
2019-07-01,AC-IND-005,Air Conditioner 1.5T,Daikin,37125.07,24000.0,721,India
2019-08-01,AC-IND-005,Air Conditioner 1.5T,Daikin,40958.01,24000.0,706,India
2019-09-01,AC-IND-005,Air Conditioner 1.5T,Daikin,35578.84,24000.0,518,India
2019-10-01,AC-IND-005,Air Conditioner 1.5T,Daikin,35889.38,24000.0,708,India
2019-11-01,AC-IND-005,Air Conditioner 1.5T,Daikin,36094.33,24000.0,702,India
2019-12-01,AC-IND-005,Air Conditioner 1.5T,Daikin,36693.38,24000.0,536,India
2020-01-01,AC-IND-005,Air Conditioner 1.5T,Daikin,38578.87,24480.0,580,India
2020-02-01,AC-IND-005,Air Conditioner 1.5T,Daikin,42160.85,24480.0,570,India
2020-03-01,AC-IND-005,Air Conditioner 1.5T,Daikin,42080.01,24480.0,633,India
2020-04-01,AC-IND-005,Air Conditioner 1.5T,Daikin,41428.95,24480.0,660,India
2020-05-01,AC-IND-005,Air Conditioner 1.5T,Daikin,37078.97,24480.0,805,India
2020-06-01,AC-IND-005,Air Conditioner 1.5T,Daikin,40196.11,24480.0,828,India
2020-07-01,AC-IND-005,Air Conditioner 1.5T,Daikin,39588.47,24480.0,723,India
2020-08-01,AC-IND-005,Air Conditioner 1.5T,Daikin,37762.14,24480.0,693,India
2020-09-01,AC-IND-005,Air Conditioner 1.5T,Daikin,38035.81,24480.0,590,India
2020-10-01,AC-IND-005,Air Conditioner 1.5T,Daikin,38673.05,24480.0,757,India
2020-11-01,AC-IND-005,Air Conditioner 1.5T,Daikin,36727.95,24480.0,688,India
2020-12-01,AC-IND-005,Air Conditioner 1.5T,Daikin,39832.75,24480.0,597,India
2021-01-01,AC-IND-005,Air Conditioner 1.5T,Daikin,38052.44,24960.0,647,India
2021-02-01,AC-IND-005,Air Conditioner 1.5T,Daikin,40158.45,24960.0,564,India
2021-03-01,AC-IND-005,Air Conditioner 1.5T,Daikin,39226.95,24960.0,651,India
2021-04-01,AC-IND-005,Air Conditioner 1.5T,Daikin,37923.88,24960.0,761,India
2021-05-01,AC-IND-005,Air Conditioner 1.5T,Daikin,38698.71,24960.0,970,India
2021-06-01,AC-IND-005,Air Conditioner 1.5T,Daikin,41449.75,24960.0,793,India
2021-07-01,AC-IND-005,Air Conditioner 1.5T,Daikin,40096.81,24960.0,796,India
2021-08-01,AC-IND-005,Air Conditioner 1.5T,Daikin,39711.83,24960.0,776,India
2021-09-01,AC-IND-005,Air Conditioner 1.5T,Daikin,42410.78,24960.0,694,India
2021-10-01,AC-IND-005,Air Conditioner 1.5T,Daikin,43277.01,24960.0,757,India
