text,source,rating,title,url,sentiment_label,sentiment_confidence,sentiment_unified_expected,emotion_labels,ensemble_label,ensemble_confidence,ensemble_unified_expected,ensemble_all_scores,sarcasm_label,sarcasm_confidence,sarcastic,aspects_found
Galaxy AI is Good initiative yet to improve 4.,flipkart_review,,,https://www.flipkart.com/samsung-galaxy-s24-ultra-5g-titanium-gray-256-gb/product-reviews/itm12ef5ea0212ed?aid=b32e49f9-79fd-4798-98ad-51dd89a408d0&mid=FLIPKART&fid=762594dc-2923-440e-a27d-41644687550d.MOBGX2F3RQKKKTAW&an=Display&cat=Mobile&vert=Handset,positive,0.2200339138507843,0.21649643272051716,admiration,positive,0.3931320491123496,0.19137125164637564,"{'very negative': 0.023538397149791168, 'negative': 0.28070933277981236, 'neutral': 0.1439219303281487, 'positive': 0.3931320491123496, 'very positive': 0.15869829062989818}",irony,0.5477229952812195,True,general
amazing Battery backup SOT upto 6hrs for me Performance top notch although I m not power user. Fully satisfied with s24 ultra.,flipkart_review,,,https://www.flipkart.com/samsung-galaxy-s24-ultra-5g-titanium-gray-1-tb/product-reviews/itm1bb57d54d6473?pid=MOBGX2F3YAKBFZJB&lid=LSTMOBGX2F3YAKBFZJBKRLUS2&aid=af9b0aa9-3e0a-4d59-bbb0-8997e7dcfa92&mid=FLIPKART&fid=0cf84aea-4d7d-4940-945e-a32106acff0c.MOBGX2F3YAKBFZJB&an=Performance&cat=Mobile&vert=Handset,positive,0.5961214303970337,0.5406557514724235,admiration,very positive,0.47458414489175654,0.6724412103821036,"{'very negative': 0.011254364469536308, 'negative': 0.021409105869274705, 'neutral': 0.05312041898039112, 'positive': 0.43963196578904135, 'very positive': 0.47458414489175654}",non_irony,0.969937801361084,False,"battery,performance,sound"
Samsung has nailed it in every department.Camera and video quality is top notch.After intensive phone usage I am getting,flipkart_review,,,https://www.flipkart.com/samsung-galaxy-s24-ultra-5g-titanium-yellow-512-gb/product-reviews/itmc2ea635530e53?pid=MOBH3P4UQRS8EYTB&lid=LSTMOBH3P4UQRS8EYTBXSLBD6&aid=dc0f2b2d-7619-44cc-b5fc-2fe3e4d453a7&mid=FLIPKART&fid=f320fa68-f6f2-4142-87dc-80ba5a82dfa7.MOBH3P4UQRS8EYTB&an=Camera&cat=Mobile&vert=Handset,positive,0.5393646359443665,0.6278144271449407,"admiration,neutral",very positive,0.5964909434044093,0.7440723227536267,"{'very negative': 0.015350488457871578, 'negative': 0.01790418813963941, 'neutral': 0.026486456244262553, 'positive': 0.34376792375381715, 'very positive': 0.5964909434044093}",irony,0.78755784034729,True,"camera,build_quality"
Giving my review after using it almost 50 days.,flipkart_review,,,https://www.flipkart.com/samsung-galaxy-s24-ultra-5g-titanium-orange-256-gb/product-reviews/itmb8642f7449e74?pid=MOBH6S45KUFTSZQY,positive,0.7074716687202454,0.36036339950754664,neutral,positive,0.5367382067708338,0.398452752092407,"{'very negative': 0.04589557101263593, 'negative': 0.04904790131210679, 'neutral': 0.16781515052874402, 'positive': 0.5367382067708338, 'very positive': 0.2005031703756794}",irony,0.6107044219970703,True,software
Awesome Display and Camera. Battery performance is also good.,flipkart_review,,,https://www.flipkart.com/samsung-galaxy-s24-ultra-5g-titanium-orange-256-gb/product-reviews/itmb8642f7449e74?pid=MOBH6S45KUFTSZQY,positive,0.9147433042526245,0.4843815320496817,admiration,positive,0.5693640518489058,0.6768023411209874,"{'very negative': 0.005716649486978325, 'negative': 0.007658126821702426, 'neutral': 0.015595143748049427, 'positive': 0.5693640518489058, 'very positive': 0.401666028094364}",non_irony,0.697261393070221,False,"battery,camera,display,performance,sound"
"What a fantastic mobile it is. Camera is the best, performance is the best, look and feel is very rich. Display is Ultra HD. The best of best.",flipkart_review,,,https://www.flipkart.com/samsung-galaxy-s24-ultra-5g-titanium-orange-256-gb/product-reviews/itmb8642f7449e74?pid=MOBH6S45KUFTSZQY,positive,0.6656302809715271,0.6715407079039769,admiration,very positive,0.7149903795447506,0.8254691514558755,"{'very negative': 0.009786343847537337, 'negative': 0.009737239792115477, 'neutral': 0.01521856550615667, 'positive': 0.25026747130943994, 'very positive': 0.7149903795447506}",non_irony,0.5744319558143616,False,"camera,display,performance,sound,cooling,design"
Superb product great in every aspect. Go for it,flipkart_review,,,https://www.flipkart.com/samsung-galaxy-s24-ultra-5g-titanium-orange-256-gb/product-reviews/itmb8642f7449e74?pid=MOBH6S45KUFTSZQY,positive,0.714078426361084,0.560845310036894,admiration,very positive,0.5432299820164684,0.7412495763300073,"{'very negative': 0.008802112093364458, 'negative': 0.009683240611655822, 'neutral': 0.014958011853048694, 'positive': 0.42332665342546255, 'very positive': 0.5432299820164684}",non_irony,0.8811342716217041,False,general
"Perfect product! Nice performance of camera and other features.. Samsung always great..,",flipkart_review,,,https://www.flipkart.com/samsung-galaxy-s24-ultra-5g-titanium-orange-256-gb/product-reviews/itmb8642f7449e74?pid=MOBH6S45KUFTSZQY,positive,0.8299462795257568,0.47672503124679333,admiration,very positive,0.5061254945991156,0.7159244903724451,"{'very negative': 0.008063127630252022, 'negative': 0.011481688346177833, 'neutral': 0.027123754271113663, 'positive': 0.44720593515334095, 'very positive': 0.5061254945991156}",irony,0.8764486908912659,True,"camera,performance,sound"
"Samsung Galaxy S24 Ultra 5G (Titanium Gray, 256 GB)4.67,575 Ratings & 554 Reviews· 12 GB RAM | 256 GB ROM · 17.27 cm (6.8 inch) Quad HD+ Display · 200MP + 50MP + 12MP + 10MP | 12MP Front Camera · 5000 mAh Battery · Snapdragon 8 Gen 3 Processor · 1 Year Manufacturer Warranty for Device",flipkart_review,,,https://flipkart.com/search?as=off&as-show=on&marketplace=FLIPKART&otracker=search&otracker1=search&q=s24+ultra,neutral,0.9315235614776611,0.0020348805669802277,neutral,neutral,0.5167654064361352,0.2653768924567755,"{'very negative': 0.038225180036486714, 'negative': 0.0376438727236196, 'neutral': 0.5167654064361352, 'positive': 0.16988306389737334, 'very positive': 0.2374824769063853}",non_irony,0.9644953012466431,False,"battery,camera,display,performance,service"
"रिंगके Samsung Galaxy S24 Ultra के लिए · 4.3(9) ₹1,799 · ₹1,999 · 10% off · Special price if bought with this item · Please add at least 1 add-on item to proceed · ADD TO CART · रेटिंग और रिव्यू · Rate Product · 4.6 · ★ · 7,354 Ratings & 567 Reviews ·",flipkart_review,,,https://www.flipkart.com/hi/samsung-galaxy-s24-ultra-5g-titanium-gray-256-gb/p/itm12ef5ea0212ed?pid=MOBGX2F3RQKKKTAW&lid=LSTMOBGX2F3RQKKKTAWDVPBKD&hl_lid=&marketplace=FLIPKART,neutral,0.9382018446922302,0.0008028569965612647,neutral,neutral,0.5564030223977539,-0.01287189298942392,"{'very negative': 0.13963399364677392, 'negative': 0.08574980619027975, 'neutral': 0.5564030223977539, 'positive': 0.09715234802540511, 'very positive': 0.12106082973978732}",non_irony,0.9679295420646667,False,price_value
"Samsung 24 ultra won't disappoint you , but your girlfrien",flipkart_review,,,https://www.flipkart.com/samsung-galaxy-s24-ultra-5g-titanium-gray-1-tb/p/itmc100d5079b099,neutral,0.3690011203289032,0.15372296298005395,"neutral,disappointment",positive,0.3184848919118723,0.26975052581404196,"{'very negative': 0.03466650254433197, 'negative': 0.1566843334599847, 'neutral': 0.2666475229513809, 'positive': 0.3184848919118723, 'very positive': 0.22351674913243014}",non_irony,0.8568511009216309,False,software
"more · Verified buyer · Will it detect aliens in outer space ? No, It cannot detect aliens for now. Maybe in future Samsu",flipkart_review,,,https://www.flipkart.com/samsung-galaxy-s24-ultra-5g-titanium-gray-1-tb/p/itmc100d5079b099,neutral,0.2964010536670685,-0.337000006142005,"confusion,neutral",negative,0.39386415518811135,-0.4012489048546768,"{'very negative': 0.2511570883290287, 'negative': 0.39386415518811135, 'neutral': 0.2835385152403157, 'positive': 0.04919996034827309, 'very positive': 0.02224028089427109}",non_irony,0.9024825692176819,False,general
"more · Verified buyer · can i talk with alien with this phone · Yes, only if they understood ur query and able to receive",flipkart_review,,,https://www.flipkart.com/samsung-galaxy-s24-ultra-5g-titanium-gray-1-tb/p/itmc100d5079b099,neutral,0.30680617690086365,-0.21886577517543893,neutral,negative,0.30743110311886707,-0.35010111950892653,"{'very negative': 0.29378088602881636, 'negative': 0.30743110311886707, 'neutral': 0.2544561712412395, 'positive': 0.09387304306350781, 'very positive': 0.05045879654756947}",non_irony,0.9056119918823242,False,general
"more · Verified buyer · Show all questions & answers · Similar Products · 4.5 · Samsung Galaxy S24+ 5G (Cobalt Violet, 256 GB) 12 GB RAM ·",flipkart_review,,,https://www.flipkart.com/samsung-galaxy-s24-ultra-5g-titanium-gray-1-tb/p/itmc100d5079b099,neutral,0.9058595299720764,0.015596622280631151,neutral,neutral,0.5151666465865735,0.2044829193083613,"{'very negative': 0.0620792810309864, 'negative': 0.0547444741372881, 'neutral': 0.5151666465865735, 'positive': 0.1481503216743204, 'very positive': 0.21985927657083154}",non_irony,0.9574099779129028,False,performance
"Samsung Galaxy S24 Ultra 5G (Titanium Yellow, 256 GB)4.67,466 Ratings & 548 Reviews· 12 GB RAM | 256 GB ROM · 17.27 cm (6.8 inch) Quad HD+ Display · 200MP + 50MP + 12MP + 10MP | 12MP Front Camera · 5000 mAh Battery · Snapdragon 8 Gen 3 Processor · 1 Year Manufacturer Warranty for Device",flipkart_review,,,https://flipkart.com/search?as=off&as-show=on&marketplace=FLIPKART&otracker=search&otracker1=search&q=samsung+s24+ultra,neutral,0.9316307306289673,0.002528085269577526,neutral,neutral,0.5163440746600705,0.26272714720305895,"{'very negative': 0.0402592427363321, 'negative': 0.03857729668122751, 'neutral': 0.5163440746600705, 'positive': 0.16508869528473025, 'very positive': 0.23973069063763966}",non_irony,0.9652248620986938,False,"battery,camera,display,performance,service"
"Maria, 02 Mar 2026How to access recovery mode?Sorry, My last comment to you I didn't explain properly.  To get into recovery mode turn off your phone. Use your phone charging  cable and hook  it to a tablet,  Laptop or computer. Then  hold volume up and power button together and wait for samsung logo to appear and then release volume and power button and your into recovery mode.  But unfortunately February security update removed the wipe cache partition feature. So it only shows wipe data and factory reset.",gsmarena_opinion,,,https://www.gsmarena.com/samsung_galaxy_s24_ultra-reviews-12771.php,neutral,0.3969787061214447,-0.2062738308590154,remorse,negative,0.36047852269467584,-0.46387516763845943,"{'very negative': 0.3167961897383489, 'negative': 0.36047852269467584, 'neutral': 0.2741493616287785, 'positive': 0.03083128498193883, 'very positive': 0.017744640956257954}",non_irony,0.5655630230903625,False,"battery,sound,software"
"Abhy06, 11 Mar 2026Its giving 5hrs SOTInteresting... I still get over 9 hours from 70% (...I keep it between 15% and 85%).Maybe test the battery: Device Care > Diagnostics >  Phone Diagnostics > Battery Status...if everything's OK, it should read ""Normal"" and ""Life: Good"". If not, it might be worth contacting Samsung about it(?)",gsmarena_opinion,,,https://www.gsmarena.com/samsung_galaxy_s24_ultra-reviews-12771.php,neutral,0.9031320810317993,0.012694575731731168,"neutral,curiosity",neutral,0.5413244370683357,-0.27152395680355224,"{'very negative': 0.218537930914012, 'negative': 0.18188992740824783, 'neutral': 0.5413244370683357, 'positive': 0.04057753358964168, 'very positive': 0.017670171019762863}",non_irony,0.9211022257804871,False,"battery,price_value,software"
"SteveUk, 07 Mar 2026I think you may have a battery problem... you shouldn't have to charge your phone multipl...moreIts giving 5hrs SOT",gsmarena_opinion,,,https://www.gsmarena.com/samsung_galaxy_s24_ultra-reviews-12771.php,neutral,0.48029375076293945,-0.05655134732742811,"neutral,caring",negative,0.3392156952563882,-0.3756974423702894,"{'very negative': 0.2576112543025737, 'negative': 0.3392156952563882, 'neutral': 0.3290845113187781, 'positive': 0.04513375912356314, 'very positive': 0.02895477999869682}",non_irony,0.9604055881500244,False,battery
"Marcus, 07 Mar 2026Samsung Galaxy S24 Ultra will eventually get an update on privacy display as well as all A.I n...moreSorry to break your bubble but privacy display wont becoming, its a display technology not a software thing.",gsmarena_opinion,,,https://www.gsmarena.com/samsung_galaxy_s24_ultra-reviews-12771.php,neutral,0.10753104835748672,0.0257147137611992,remorse,negative,0.5420050144649373,-0.35932670917995374,"{'very negative': 0.1553612086730224, 'negative': 0.5420050144649373, 'neutral': 0.19729140071903659, 'positive': 0.07661073883493263, 'very positive': 0.028731637308071014}",non_irony,0.799454391002655,False,"display,software"
This is a good successor for my aging galaxy S20 Ulta,gsmarena_opinion,,,https://www.gsmarena.com/samsung_galaxy_s24_ultra-reviews-12771.php,positive,0.9101096391677856,0.4703455901931015,admiration,positive,0.7078113469039458,0.5615333120094338,"{'very negative': 0.0070680507206928225, 'negative': 0.015367728044337605, 'neutral': 0.04737332103070121, 'positive': 0.7078113469039458, 'very positive': 0.22237955330032255}",non_irony,0.7711007595062256,False,general
"Aadrian, 07 Mar 2026Samsung's on fire with another Google play system update of February and 56MB in size! 
...moreYeah that's surprising! I also received a second update on my S24 FE.",gsmarena_opinion,,,https://www.gsmarena.com/samsung_galaxy_s24_ultra-reviews-12771.php,positive,0.4991219639778137,0.48732614460989426,surprise,positive,0.2868352527088294,-0.030348129725090517,"{'very negative': 0.2674860303818443, 'negative': 0.1309133442911598, 'neutral': 0.15558842617024746, 'positive': 0.2868352527088294, 'very positive': 0.159176946447919}",irony,0.7179299592971802,True,software
Samsung's on fire with another Google play system update of February and 56MB in size!First you ain't getting such patches for half a year or so and now two in a few weeks.,gsmarena_opinion,,,https://www.gsmarena.com/samsung_galaxy_s24_ultra-reviews-12771.php,neutral,0.745294988155365,0.08395818976897922,neutral,neutral,0.3953182995809386,-0.37308302808195504,"{'very negative': 0.3868332670067674, 'negative': 0.11994864460184478, 'neutral': 0.3953182995809386, 'positive': 0.048350455169429214, 'very positive': 0.04954933364102014}",non_irony,0.6810042858123779,False,software
"Abhy06, 03 Mar 2026Samsung S24 Ultra the last true ''Note'' device from Samsung
2 years in s...moreI think you may have a battery problem... you shouldn't have to charge your phone multiple times a day, especially after only 2 years of use? (I've been using my S24U for the last 2 years and the battery is still great... lasts all day, easily 🤔)",gsmarena_opinion,,,https://www.gsmarena.com/samsung_galaxy_s24_ultra-reviews-12771.php,neutral,0.2231702357530594,-0.06529533843478431,"admiration,approval,curiosity",negative,0.435255818357361,-0.13494260221348114,"{'very negative': 0.09417295790791365, 'negative': 0.435255818357361, 'neutral': 0.22715257488263932, 'positive': 0.13312076795794633, 'very positive': 0.11029788089413985}",non_irony,0.9570697546005249,False,battery
Samsung Galaxy S24 Ultra will eventually get an update on privacy display as well as all A.I new features from Galaxy 26 Ultra within the next 5 updates from Android 16 onwards,gsmarena_opinion,,,https://www.gsmarena.com/samsung_galaxy_s24_ultra-reviews-12771.php,neutral,0.9023823142051697,0.020883713902696843,neutral,neutral,0.5290811231537886,0.25203760648250806,"{'very negative': 0.02479152456174383, 'negative': 0.03744704162337608, 'neutral': 0.5290811231537886, 'positive': 0.22625531761030326, 'very positive': 0.18242499305078827}",non_irony,0.7853426933288574,False,"display,software"
"S24 Ultra, the last of the Notes. RiP to the Note Series.",gsmarena_opinion,,,https://www.gsmarena.com/samsung_galaxy_s24_ultra-reviews-12771.php,neutral,0.8296993970870972,0.05001262509375484,neutral,neutral,0.47231325303787003,-0.2984981926702978,"{'very negative': 0.24448041062578865, 'negative': 0.20877466598291478, 'neutral': 0.47231325303787003, 'positive': 0.048124238812956674, 'very positive': 0.02630743154046988}",non_irony,0.9670060276985168,False,general
"Aadrian, 03 Mar 2026I downloaded and installed the February patch, a bit delayed but it arrived after all. No issu...moreDone.",gsmarena_opinion,,,https://www.gsmarena.com/samsung_galaxy_s24_ultra-reviews-12771.php,positive,0.5081266760826111,0.3046427341385167,neutral,very negative,0.33611095114271444,-0.2872330402207711,"{'very negative': 0.33611095114271444, 'negative': 0.2144599118507147, 'neutral': 0.161277920147337, 'positive': 0.2640867000238666, 'very positive': 0.024064516835367408}",non_irony,0.939765989780426,False,delivery
"I downloaded and installed the February patch, a bit delayed but it arrived after all. No issues here.",gsmarena_opinion,,,https://www.gsmarena.com/samsung_galaxy_s24_ultra-reviews-12771.php,positive,0.8412796258926392,0.4308862660136997,"neutral,approval",positive,0.6449252461382953,0.49597197994994524,"{'very negative': 0.017234479891194743, 'negative': 0.03339966149954261, 'neutral': 0.09699694494920374, 'positive': 0.6449252461382953, 'very positive': 0.20744366752176363}",non_irony,0.8680025339126587,False,delivery
